YEAR;ANNUAL SALES
1967;0
1968;0
1969;0
1970;0
1971;0
1972;0
1973;0
1974;0
1975;0
1976;70.700
1977;323.600
1978;340.100
1979;469.300
1980;480.100
1981;444.200
1982;413.200
1983;460.700
1984;608.600
1985;830.700
1986;968.800
1987;907.100
1988;696.900
1989;628.700
1990;602.500
1991;527.800
1992;398.300
1993;364.700
1994;395.200
1995;402.100
1996;438.800
1997;579.500
1998;655.900
1999;775.300
2000;852.200
2001;981.200
2002;1.066.375
2003;1.227.180
2004;1.246.258
2005;1.215.315
2006;1.346.750
2007;1.388.085
2008;1.096.469
2009;884.242
2010;898.644
2011;982.443
2012;1.060.720
2013;1.239.268
2014;1.359.910
2015;1.782.078
2016;2.157.682
2017;2.409.096
2018;2.761.221
2019;2.620.241
2020;2.435.832
2021;464.487
