Year,Gasoline price
1990,1.298875
1991,1.09812
1992,1.087372549
1993,1.067307692
1994,1.071846154
1995,1.103307692
1996,1.191924528
1997,1.188692308
1998,1.016653846
1999,1.116
2000,1.460698113
2001,1.383830189
2002,1.313
2003,1.515807692
2004,1.811615385
2005,2.239576923
2006,2.533096154
2007,2.767
2008,3.213
2009,2.3145
2010,2.742384615
2011,3.476
2012,3.552
2013,3.443
2014,3.299
2015,2.33375
2016,2.070461538
2017,2.333173077
2018,2.630528302
2019,2.501
2020,2.073711538
2021,2.426909091
