Month & Year,Disposable Income 
Jan-70,17481
Feb-70,17523
Mar-70,17576
Apr-70,17743
May-70,17652
Jun-70,17669
Jul-70,17899
Aug-70,17935
Sep-70,17894
Oct-70,17815
Nov-70,17769
Dec-70,17830
Jan-71,18085
Feb-71,18093
Mar-71,18135
Apr-71,18155
May-71,18211
Jun-71,18578
Jul-71,18295
Aug-71,18340
Sep-71,18428
Oct-71,18468
Nov-71,18494
Dec-71,18572
Jan-72,18464
Feb-72,18564
Mar-72,18627
Apr-72,18604
May-72,18726
Jun-72,18769
Jul-72,18890
Aug-72,19048
Sep-72,19104
Oct-72,19566
Nov-72,19767
Dec-72,19839
Jan-73,19722
Feb-73,19856
Mar-73,19914
Apr-73,19925
May-73,19946
Jun-73,19990
Jul-73,20021
Aug-73,19939
Sep-73,20022
Oct-73,20182
Nov-73,20199
Dec-73,20110
Jan-74,19950
Feb-74,19786
Mar-74,19632
Apr-74,19604
May-74,19569
Jun-74,19514
Jul-74,19573
Aug-74,19528
Sep-74,19489
Oct-74,19536
Nov-74,19417
Dec-74,19407
Jan-75,19384
Feb-75,19384
Mar-75,19389
Apr-75,19728
May-75,20847
Jun-75,20125
Jul-75,19795
Aug-75,19908
Sep-75,19938
Oct-75,20004
Nov-75,19973
Dec-75,19978
Jan-76,20092
Feb-76,20203
Mar-76,20251
Apr-76,20263
May-76,20248
Jun-76,20251
Jul-76,20349
Aug-76,20372
Sep-76,20357
Oct-76,20303
Nov-76,20469
Dec-76,20531
Jan-77,20474
Feb-77,20278
Mar-77,20546
Apr-77,20561
May-77,20548
Jun-77,20616
Jul-77,20729
Aug-77,20792
Sep-77,20885
Oct-77,21017
Nov-77,21166
Dec-77,21237
Jan-78,21129
Feb-78,21240
Mar-78,21399
Apr-78,21455
May-78,21422
Jun-78,21404
Jul-78,21490
Aug-78,21558
Sep-78,21542
Oct-78,21579
Nov-78,21579
Dec-78,21668
Jan-79,21754
Feb-79,21825
Mar-79,21865
Apr-79,21668
May-79,21548
Jun-79,21471
Jul-79,21604
Aug-79,21611
Sep-79,21568
Oct-79,21533
Nov-79,21569
Dec-79,21592
Jan-80,21720
Feb-80,21585
Mar-80,21430
Apr-80,21388
May-80,21288
Jun-80,21312
Jul-80,21479
Aug-80,21481
Sep-80,21552
Oct-80,21702
Nov-80,21718
Dec-80,21804
Jan-81,21706
Feb-81,21625
Mar-81,21670
Apr-81,21593
May-81,21618
Jun-81,21718
Jul-81,22040
Aug-81,22084
Sep-81,22025
Oct-81,22034
Nov-81,22030
Dec-81,21986
Jan-82,21999
Feb-82,22044
Mar-82,22025
Apr-82,22227
May-82,22117
Jun-82,21978
Jul-82,22157
Aug-82,22171
Sep-82,22141
Oct-82,22096
Nov-82,22165
Dec-82,22252
Jan-83,22310
Feb-83,22303
Mar-83,22393
Apr-83,22425
May-83,22453
Jun-83,22452
Jul-83,22717
Aug-83,22655
Sep-83,22801
Oct-83,22988
Nov-83,23172
Dec-83,23368
Jan-84,23462
Feb-84,23588
Mar-84,23729
Apr-84,23876
May-84,23897
Jun-84,24038
Jul-84,24049
Aug-84,24192
Sep-84,24342
Oct-84,24230
Nov-84,24317
Dec-84,24450
Jan-85,24427
Feb-85,24187
Mar-85,24060
Apr-85,24441
May-85,25018
Jun-85,24472
Jul-85,24503
Aug-85,24463
Sep-85,24545
Oct-85,24646
Nov-85,24664
Dec-85,24793
Jan-86,24821
Feb-86,24934
Mar-86,25173
Apr-86,25251
May-86,25257
Jun-86,25219
Jul-86,25330
Aug-86,25346
Sep-86,25347
