Month & Year,Unemployment Rate 
Jan-70,3.9
Feb-70,4.2
Mar-70,4.4
Apr-70,4.6
May-70,4.8
Jun-70,4.9
Jul-70,5.0
Aug-70,5.1
Sep-70,5.4
Oct-70,5.5
Nov-70,5.9
Dec-70,6.1
Jan-71,5.9
Feb-71,5.9
Mar-71,6.0
Apr-71,5.9
May-71,5.9
Jun-71,5.9
Jul-71,6.0
Aug-71,6.1
Sep-71,6.0
Oct-71,5.8
Nov-71,6.0
Dec-71,6.0
Jan-72,5.8
Feb-72,5.7
Mar-72,5.8
Apr-72,5.7
May-72,5.7
Jun-72,5.7
Jul-72,5.6
Aug-72,5.6
Sep-72,5.5
Oct-72,5.6
Nov-72,5.3
Dec-72,5.2
Jan-73,4.9
Feb-73,5.0
Mar-73,4.9
Apr-73,5.0
May-73,4.9
Jun-73,4.9
Jul-73,4.8
Aug-73,4.8
Sep-73,4.8
Oct-73,4.6
Nov-73,4.8
Dec-73,4.9
Jan-74,5.1
Feb-74,5.2
Mar-74,5.1
Apr-74,5.1
May-74,5.1
Jun-74,5.4
Jul-74,5.5
Aug-74,5.5
Sep-74,5.9
Oct-74,6.0
Nov-74,6.6
Dec-74,7.2
Jan-75,8.1
Feb-75,8.1
Mar-75,8.6
Apr-75,8.8
May-75,9.0
Jun-75,8.8
Jul-75,8.6
Aug-75,8.4
Sep-75,8.4
Oct-75,8.4
Nov-75,8.3
Dec-75,8.2
Jan-76,7.9
Feb-76,7.7
Mar-76,7.6
Apr-76,7.7
May-76,7.4
Jun-76,7.6
Jul-76,7.8
Aug-76,7.8
Sep-76,7.6
Oct-76,7.7
Nov-76,7.8
Dec-76,7.8
Jan-77,7.5
Feb-77,7.6
Mar-77,7.4
Apr-77,7.2
May-77,7.0
Jun-77,7.2
Jul-77,6.9
Aug-77,7.0
Sep-77,6.8
Oct-77,6.8
Nov-77,6.8
Dec-77,6.4
Jan-78,6.4
Feb-78,6.3
Mar-78,6.3
Apr-78,6.1
May-78,6.0
Jun-78,5.9
Jul-78,6.2
Aug-78,5.9
Sep-78,6.0
Oct-78,5.8
Nov-78,5.9
Dec-78,6.0
Jan-79,5.9
Feb-79,5.9
Mar-79,5.8
Apr-79,5.8
May-79,5.6
Jun-79,5.7
Jul-79,5.7
Aug-79,6.0
Sep-79,5.9
Oct-79,6.0
Nov-79,5.9
Dec-79,6.0
Jan-80,6.3
Feb-80,6.3
Mar-80,6.3
Apr-80,6.9
May-80,7.5
Jun-80,7.6
Jul-80,7.8
Aug-80,7.7
Sep-80,7.5
Oct-80,7.5
Nov-80,7.5
Dec-80,7.2
Jan-81,7.5
Feb-81,7.4
Mar-81,7.4
Apr-81,7.2
May-81,7.5
Jun-81,7.5
Jul-81,7.2
Aug-81,7.4
Sep-81,7.6
Oct-81,7.9
Nov-81,8.3
Dec-81,8.5
Jan-82,8.6
Feb-82,8.9
Mar-82,9.0
Apr-82,9.3
May-82,9.4
Jun-82,9.6
Jul-82,9.8
Aug-82,9.8
Sep-82,10.1
Oct-82,10.4
Nov-82,10.8
Dec-82,10.8
Jan-83,10.4
Feb-83,10.4
Mar-83,10.3
Apr-83,10.2
May-83,10.1
Jun-83,10.1
Jul-83,9.4
Aug-83,9.5
Sep-83,9.2
Oct-83,8.8
Nov-83,8.5
Dec-83,8.3
Jan-84,8.0
Feb-84,7.8
Mar-84,7.8
Apr-84,7.7
May-84,7.4
Jun-84,7.2
Jul-84,7.5
Aug-84,7.5
Sep-84,7.3
Oct-84,7.4
Nov-84,7.2
Dec-84,7.3
Jan-85,7.3
Feb-85,7.2
Mar-85,7.2
Apr-85,7.3
May-85,7.2
Jun-85,7.4
Jul-85,7.4
Aug-85,7.1
Sep-85,7.1
Oct-85,7.1
Nov-85,7.0
Dec-85,7.0
Jan-86,6.7
Feb-86,7.2
Mar-86,7.2
Apr-86,7.1
May-86,7.2
Jun-86,7.2
Jul-86,7.0
Aug-86,6.9
Sep-86,7.0
Oct-86,7.0
Nov-86,6.9
Dec-86,6.6
Jan-87,6.6
Feb-87,6.6
Mar-87,6.6
Apr-87,6.3
May-87,6.3
Jun-87,6.2
Jul-87,6.1
Aug-87,6.0
Sep-87,5.9
Oct-87,6.0
Nov-87,5.8
Dec-87,5.7
Jan-88,5.7
Feb-88,5.7
Mar-88,5.7
Apr-88,5.4
May-88,5.6
Jun-88,5.4
Jul-88,5.4
Aug-88,5.6
Sep-88,5.4
Oct-88,5.4
Nov-88,5.3
Dec-88,5.3
Jan-89,5.4
Feb-89,5.2
Mar-89,5.0
Apr-89,5.2
May-89,5.2
Jun-89,5.3
Jul-89,5.2
Aug-89,5.2
Sep-89,5.3
Oct-89,5.3
Nov-89,5.4
Dec-89,5.4
Jan-90,5.4
Feb-90,5.3
Mar-90,5.2
Apr-90,5.4
May-90,5.4
Jun-90,5.2
Jul-90,5.5
Aug-90,5.7
Sep-90,5.9
Oct-90,5.9
Nov-90,6.2
Dec-90,6.3
Jan-91,6.4
Feb-91,6.6
Mar-91,6.8
Apr-91,6.7
May-91,6.9
Jun-91,6.9
Jul-91,6.8
Aug-91,6.9
